StimSet,UpBrack,StimDur,RetStart,RetDur,ProbeStart,ProbeDur,ProbeLet,BotBrack,TrialDur,ITI,TrialITIDur,Correct,ProbeDurITI
WRMTLB,3456,2.5,2.5,0,2.5,0, ,0,2.5,3.592,6.092,7,3.592
YJTXHB,12345,2.5,2.5,4,6.5,2.5,wlmkhd,5,9,4.046,13.046,6,6.546
KQWNML,12345,2.5,2.5,4,6.5,2.5,xfbmgh,4,9,4.198,13.198,6,6.698
NXBFYM,1,2.5,2.5,0,2.5,0, ,0,2.5,3.514,6.014,6,3.514
GXRNQK,1234,2.5,2.5,4,6.5,2.5,fwtdlh,1,9,4.091,13.091,7,6.591
XMNLWQ,4,2.5,2.5,4,6.5,2.5,yhjrlk,5,9,4,13,6,6.5
LXHTGY,2345,2.5,2.5,0,2.5,0, ,0,2.5,3.773,6.273,6,3.773
KYQXGN,34,2.5,2.5,0,2.5,0, ,0,2.5,3.865,6.365,7,3.865
WJNKBL,5,2.5,2.5,4,6.5,2.5,ymdfbq,5,9,4.061,13.061,6,6.561
GBKFWQ,123456,2.5,2.5,4,6.5,2.5,mlrdgt,5,9,4.297,13.297,6,6.797
XYTHNL,1234,2.5,2.5,4,6.5,2.5,kjqmbr,6,9,4.839,13.839,7,7.339
DHRYXG,456,2.5,2.5,4,6.5,2.5,lqfbxm,5,9,5.295,14.295,6,7.795
MJYFWG,23456,2.5,2.5,0,2.5,2.5,nrxldq,5,5,3.035,8.035,7,5.535
YDKFJB,12345,2.5,2.5,4,6.5,2.5,wtlhng,2,9,4.078,13.078,7,6.578
QGNHKD,12345,2.5,2.5,0,2.5,0, ,0,2.5,5.408,7.908,7,5.408
TKHNRY,23456,2.5,2.5,4,6.5,2.5,blmwfg,2,9,4.269,13.269,7,6.769
XDRQFN,56,2.5,2.5,4,6.5,2.5,gmfhwy,3,9,4.016,13.016,6,6.516
LMJNYK,23,2.5,2.5,4,6.5,2.5,bgfdtq,4,9,4.081,13.081,7,6.581
MDWJQG,3,2.5,2.5,4,6.5,2.5,flrtyh,1,9,4.047,13.047,7,6.547
THGLRQ,1,2.5,2.5,4,6.5,0, ,0,6.5,4.501,11.001,6,4.501
LYDKTN,234,2.5,2.5,0,2.5,2.5,qxmyhw,4,5,3.013,8.013,6,5.513
BMLTFN,123456,2.5,2.5,4,6.5,2.5,qyrhdj,5,9,4.008,13.008,7,6.508
WDQBHG,56,2.5,2.5,0,2.5,0, ,0,2.5,3.948,6.448,6,3.948
HGWTRJ,234,2.5,2.5,0,2.5,2.5,dylkbm,5,5,3.936,8.936,7,6.436
YWDGMR,5,2.5,2.5,0,2.5,2.5,fjthql,3,5,3.083,8.083,7,5.583
HRNYFM,34,2.5,2.5,4,6.5,2.5,twdjlb,1,9,4.28,13.28,7,6.78
MBXDJF,3,2.5,2.5,0,2.5,2.5,wxrngt,2,5,3.189,8.189,6,5.689
BMWHDX,123456,2.5,2.5,0,2.5,2.5,nltkfq,4,5,3.143,8.143,7,5.643
TMFDNB,2345,2.5,2.5,0,2.5,2.5,kjgfhw,4,5,3,8,6,5.5
FLGYQT,12345,2.5,2.5,0,2.5,2.5,xrgmjd,3,5,3.038,8.038,6,5.538
GKNJFL,2345,2.5,2.5,4,6.5,2.5,fwmbyr,1,9,4.134,13.134,6,6.634
WKJRGY,345,2.5,2.5,4,6.5,2.5,qbltfn,1,9,4.987,13.987,7,7.487
KGTYFN,12345,2.5,2.5,4,6.5,0, ,0,6.5,5.805,12.305,6,5.805
TMWKBL,123456,2.5,2.5,4,6.5,0, ,0,6.5,4.851,11.351,6,4.851
QWLGHY,123456,2.5,2.5,0,2.5,0, ,0,2.5,4.31,6.81,7,4.31
JHKYWM,12345,2.5,2.5,4,6.5,2.5,qjrxbl,2,9,4.191,13.191,6,6.691
DTWLKM,345,2.5,2.5,4,6.5,2.5,ghjfql,6,9,4.021,13.021,6,6.521
JQLGHW,1234,2.5,2.5,4,6.5,0, ,0,6.5,4.62,11.12,6,4.62
BRQLXM,34,2.5,2.5,0,2.5,2.5,jnthqg,5,5,3.575,8.575,6,6.075
RFTXMB,345,2.5,2.5,0,2.5,0, ,0,2.5,5.032,7.532,7,5.032
YXMNKR,2345,2.5,2.5,0,2.5,2.5,hbjfdg,3,5,3.051,8.051,7,5.551
TFNMLB,123456,2.5,2.5,4,6.5,2.5,rxmhdk,3,9,4.103,13.103,6,6.603
QGXJWF,1,2.5,2.5,4,6.5,2.5,mnblyh,2,9,4.019,13.019,7,6.519
QXRBGY,1234,2.5,2.5,4,6.5,2.5,nhktfm,1,9,4.016,13.016,7,6.516
KXLQRH,456,2.5,2.5,0,2.5,0, ,0,2.5,3.611,6.111,6,3.611
JBNKHR,123456,2.5,2.5,0,2.5,0, ,0,2.5,4.397,6.897,6,4.397
HGNJXQ,56,2.5,2.5,4,6.5,2.5,kywxlf,4,9,4.408,13.408,6,6.908
TGDYFN,4,2.5,2.5,4,6.5,2.5,ljxmqw,6,9,4.505,13.505,7,7.005
MXRHWB,6,2.5,2.5,4,6.5,0, ,0,6.5,4.533,11.033,7,4.533
DJGQXW,123456,2.5,2.5,4,6.5,2.5,nbhfdt,5,9,4.188,13.188,6,6.688
WMJBTY,123456,2.5,2.5,0,2.5,2.5,rkqbdg,4,5,4.439,9.439,6,6.939
