StimSet,UpBrack,StimDur,RetStart,RetDur,ProbeStart,ProbeDur,ProbeLet,BotBrack,TrialDur,ITI,TrialITIDur,Correct,ProbeDurITI
QNLJXB,345,2.5,2.5,4,6.5,2.5,dkymwf,4,9,4,13,right,6.5
KMWQTH,12345,2.5,2.5,4,6.5,2.5,xljbgr,1,9,4,13,right,6.5
QFNXWJ,23456,2.5,2.5,4,6.5,0, ,0,6.5,4.5,11,none,4.5
KDMWTN,3456,2.5,2.5,4,6.5,2.5,lbygxq,5,9,4,13,right,6.5
DGYMKL,45,2.5,2.5,0,2.5,2.5,wrnfhb,2,5,3,8,right,5.5
TQNFHX,4,2.5,2.5,0,2.5,2.5,glkywj,6,5,3,8,right,5.5
BYLGJK,123456,2.5,2.5,4,6.5,2.5,nwtxbq,5,9,4,13,down,6.5
JYQLXH,123456,2.5,2.5,4,6.5,0, ,0,6.5,4.5,11,none,4.5
LNJFYG,123456,2.5,2.5,4,6.5,2.5,wmbhkd,3,9,4,13,right,6.5
QRLFXY,2345,2.5,2.5,0,2.5,0, ,0,2.5,3.5,6,none,3.5
WTMBDK,1234,2.5,2.5,0,2.5,2.5,yfntrq,4,5,3,8,down,5.5
YHGRTB,456,2.5,2.5,4,6.5,2.5,fmkblj,4,9,4,13,down,6.5
TXMGQW,123456,2.5,2.5,0,2.5,2.5,lbyrkd,2,5,3,8,right,5.5
WXDKQF,4,2.5,2.5,0,2.5,0, ,0,2.5,3.5,6,none,3.5
TGYHXQ,12345,2.5,2.5,0,2.5,2.5,bjrlnf,1,5,3,8,right,5.5
BLQMYG,45,2.5,2.5,4,6.5,0, ,0,6.5,4.5,11,none,4.5
LXNHTW,23456,2.5,2.5,4,6.5,2.5,hbdmjf,1,9,4,13,down,6.5
DYFRMQ,45,2.5,2.5,4,6.5,2.5,twbkjn,4,9,4,13,right,6.5
JKLXRW,234,2.5,2.5,0,2.5,2.5,bnqfkt,5,5,3,8,down,5.5
YBMJQW,1234,2.5,2.5,4,6.5,2.5,jrnfdg,1,9,4,13,down,6.5
MDYFGQ,456,2.5,2.5,0,2.5,0, ,0,2.5,3.5,6,none,3.5
QRDTMH,3,2.5,2.5,4,6.5,2.5,jdkfnb,2,9,4,13,down,6.5
BYFJDK,12,2.5,2.5,0,2.5,0, ,0,2.5,3.5,6,none,3.5
FTDKHM,2,2.5,2.5,4,6.5,0, ,0,6.5,4.5,11,none,4.5
WQTNRM,56,2.5,2.5,4,6.5,2.5,fmkldh,2,9,4,13,down,6.5
NXRLJT,123456,2.5,2.5,0,2.5,0, ,0,2.5,3.5,6,none,3.5
KJYLHF,12345,2.5,2.5,0,2.5,0, ,0,2.5,3.5,6,none,3.5
RWMGDH,234,2.5,2.5,4,6.5,0, ,0,6.5,4.5,11,none,4.5
GNJKWL,5,2.5,2.5,4,6.5,2.5,fhrmdq,5,9,4,13,right,6.5
WXQGNR,3456,2.5,2.5,4,6.5,0, ,0,6.5,4.5,11,none,4.5
