StimSet,UpBrack,StimDur,RetStart,RetDur,ProbeStart,ProbeDur,ProbeLet,BotBrack,TrialDur,ITI,TrialITIDur,Correct,ProbeDurITI
QNLJXB,345,2,2,5,7,2,dkymwf,4,9,4,13,right,6
KMWQTH,12345,2,2,5,7,2,xljbgr,1,9,4,13,right,6
QFNXWJ,23456,2,2,5,7,0, ,0,7,4,11,none,4
KDMWTN,3456,2,2,5,7,2,lbygxq,5,9,4,13,right,6
DGYMKL,45,2,2,0,2,2,wrnfhb,2,4,4,8,right,6
TQNFHX,4,2,2,0,2,2,glkywj,6,4,4,8,right,6
BYLGJK,123456,2,2,5,7,2,nwtxbq,5,9,4,13,down,6
JYQLXH,123456,2,2,5,7,0, ,0,7,4,11,none,4
LNJFYG,123456,2,2,5,7,2,wmbhkd,3,9,4,13,right,6
QRLFXY,2345,2,2,0,2,0, ,0,2,4,6,none,4
WTMBDK,1234,2,2,0,2,2,yfntrq,4,4,4,8,down,6
YHGRTB,456,2,2,5,7,2,fmkblj,4,9,4,13,down,6
TXMGQW,123456,2,2,0,2,2,lbyrkd,2,4,4,8,right,6
WXDKQF,4,2,2,0,2,0, ,0,2,4,6,none,4
TGYHXQ,12345,2,2,0,2,2,bjrlnf,1,4,4,8,right,6
BLQMYG,45,2,2,5,7,0, ,0,7,4,11,none,4
LXNHTW,23456,2,2,5,7,2,hbdmjf,1,9,4,13,down,6
DYFRMQ,45,2,2,5,7,2,twbkjn,4,9,4,13,right,6
JKLXRW,234,2,2,0,2,2,bnqfkt,5,4,4,8,down,6
YBMJQW,1234,2,2,5,7,2,jrnfdg,1,9,4,13,down,6
MDYFGQ,456,2,2,0,2,0, ,0,2,4,6,none,4
QRDTMH,3,2,2,5,7,2,jdkfnb,2,9,4,13,down,6
BYFJDK,12,2,2,0,2,0, ,0,2,4,6,none,4
FTDKHM,2,2,2,5,7,0, ,0,7,4,11,none,4
WQTNRM,56,2,2,5,7,2,fmkldh,2,9,4,13,down,6
NXRLJT,123456,2,2,0,2,0, ,0,2,4,6,none,4
KJYLHF,12345,2,2,0,2,0, ,0,2,4,6,none,4
RWMGDH,234,2,2,5,7,0, ,0,7,4,11,none,4
GNJKWL,5,2,2,5,7,2,fhrmdq,5,9,4,13,right,6
WXQGNR,3456,2,2,5,7,0, ,0,7,4,11,none,4
