StimSet,UpBrack,StimDur,RetStart,RetDur,ProbeStart,ProbeDur,ProbeLet,BotBrack,TrialDur,ITI,TrialITIDur,Correct,ProbeDurITI
WRMTLB,3456,2,2,0,2,0, ,0,2,4.092,6.092,7,4.092
YJTXHB,12345,2,2,5,7,2,wlmkhd,5,9,4.046,13.046,6,6.046
KQWNML,12345,2,2,5,7,2,xfbmgh,4,9,4.198,13.198,6,6.198
NXBFYM,1,2,2,0,2,0, ,0,2,4.014,6.014,6,4.014
GXRNQK,1234,2,2,5,7,2,fwtdlh,1,9,4.091,13.091,7,6.091
XMNLWQ,4,2,2,5,7,2,yhjrlk,5,9,4,13,6,6
LXHTGY,2345,2,2,0,2,0, ,0,2,4.273,6.273,6,4.273
KYQXGN,34,2,2,0,2,0, ,0,2,4.365,6.365,7,4.365
WJNKBL,5,2,2,5,7,2,ymdfbq,5,9,4.061,13.061,6,6.061
GBKFWQ,123456,2,2,5,7,2,mlrdgt,5,9,4.297,13.297,6,6.297
XYTHNL,1234,2,2,5,7,2,kjqmbr,6,9,4.839,13.839,7,6.839
DHRYXG,456,2,2,5,7,2,lqfbxm,5,9,5.295,14.295,6,7.295
MJYFWG,23456,2,2,0,2,2,nrxldq,5,4,4.035,8.035,7,6.035
YDKFJB,12345,2,2,5,7,2,wtlhng,2,9,4.078,13.078,7,6.078
QGNHKD,12345,2,2,0,2,0, ,0,2,5.908,7.908,7,5.908
TKHNRY,23456,2,2,5,7,2,blmwfg,2,9,4.269,13.269,7,6.269
XDRQFN,56,2,2,5,7,2,gmfhwy,3,9,4.016,13.016,6,6.016
LMJNYK,23,2,2,5,7,2,bgfdtq,4,9,4.081,13.081,7,6.081
MDWJQG,3,2,2,5,7,2,flrtyh,1,9,4.047,13.047,7,6.047
THGLRQ,1,2,2,5,7,0, ,0,7,4.001,11.001,6,4.001
LYDKTN,234,2,2,0,2,2,qxmyhw,4,4,4.013,8.013,6,6.013
BMLTFN,123456,2,2,5,7,2,qyrhdj,5,9,4.008,13.008,7,6.008
WDQBHG,56,2,2,0,2,0, ,0,2,4.448,6.448,6,4.448
HGWTRJ,234,2,2,0,2,2,dylkbm,5,4,4.936,8.936,7,6.936
YWDGMR,5,2,2,0,2,2,fjthql,3,4,4.083,8.083,7,6.083
HRNYFM,34,2,2,5,7,2,twdjlb,1,9,4.28,13.28,7,6.28
MBXDJF,3,2,2,0,2,2,wxrngt,2,4,4.189,8.189,6,6.189
BMWHDX,123456,2,2,0,2,2,nltkfq,4,4,4.143,8.143,7,6.143
TMFDNB,2345,2,2,0,2,2,kjgfhw,4,4,4,8,6,6
FLGYQT,12345,2,2,0,2,2,xrgmjd,3,4,4.038,8.038,6,6.038
GKNJFL,2345,2,2,5,7,2,fwmbyr,1,9,4.134,13.134,6,6.134
WKJRGY,345,2,2,5,7,2,qbltfn,1,9,4.987,13.987,7,6.987
KGTYFN,12345,2,2,5,7,0, ,0,7,5.305,12.305,6,5.305
TMWKBL,123456,2,2,5,7,0, ,0,7,4.351,11.351,6,4.351
QWLGHY,123456,2,2,0,2,0, ,0,2,4.81,6.81,7,4.81
JHKYWM,12345,2,2,5,7,2,qjrxbl,2,9,4.191,13.191,6,6.191
DTWLKM,345,2,2,5,7,2,ghjfql,6,9,4.021,13.021,6,6.021
JQLGHW,1234,2,2,5,7,0, ,0,7,4.12,11.12,6,4.12
BRQLXM,34,2,2,0,2,2,jnthqg,5,4,4.575,8.575,6,6.575
RFTXMB,345,2,2,0,2,0, ,0,2,5.532,7.532,7,5.532
YXMNKR,2345,2,2,0,2,2,hbjfdg,3,4,4.051,8.051,7,6.051
TFNMLB,123456,2,2,5,7,2,rxmhdk,3,9,4.103,13.103,6,6.103
QGXJWF,1,2,2,5,7,2,mnblyh,2,9,4.019,13.019,7,6.019
QXRBGY,1234,2,2,5,7,2,nhktfm,1,9,4.016,13.016,7,6.016
KXLQRH,456,2,2,0,2,0, ,0,2,4.111,6.111,6,4.111
JBNKHR,123456,2,2,0,2,0, ,0,2,4.897,6.897,6,4.897
HGNJXQ,56,2,2,5,7,2,kywxlf,4,9,4.408,13.408,6,6.408
TGDYFN,4,2,2,5,7,2,ljxmqw,6,9,4.505,13.505,7,6.505
MXRHWB,6,2,2,5,7,0, ,0,7,4.033,11.033,7,4.033
DJGQXW,123456,2,2,5,7,2,nbhfdt,5,9,4.188,13.188,6,6.188
WMJBTY,123456,2,2,0,2,2,rkqbdg,4,4,5.439,9.439,6,7.439
THGYKD,456,2,2,5,7,0, ,0,7,4.61,11.61,6,4.61
YXDHLJ,123456,2,2,5,7,2,bkgmwt,4,9,4.603,13.603,7,6.603
RKLNMG,123456,2,2,5,7,2,xjywdh,4,9,4.821,13.821,7,6.821
DQWMLX,234,2,2,5,7,0, ,0,7,4.012,11.012,7,4.012
BDXRHW,2345,2,2,5,7,0, ,0,7,4.099,11.099,7,4.099
GLRKJM,123456,2,2,5,7,0, ,0,7,4.466,11.466,7,4.466
FQWHGB,1234,2,2,5,7,2,rdwynt,3,9,4.158,13.158,6,6.158
DLWJMT,123,2,2,5,7,2,nhgkqx,4,9,4.217,13.217,7,6.217
DXTYHW,12345,2,2,5,7,2,krbnjq,5,9,4.384,13.384,7,6.384
HKLTRQ,12345,2,2,5,7,0, ,0,7,5.816,12.816,7,5.816
MDYBKR,1234,2,2,5,7,2,xbhlnq,2,9,4.016,13.016,6,6.016
HJBKFN,34,2,2,5,7,0, ,0,7,4.573,11.573,7,4.573
XQJLDG,6,2,2,5,7,2,wtrgyn,4,9,4.181,13.181,6,6.181
QLTGFR,34,2,2,5,7,0, ,0,7,4.119,11.119,6,4.119
