StimSet,UpBrack,StimDur,RetStart,RetDur,ProbeStart,ProbeDur,ProbeLet,BotBrack,TrialDur,ITI,TrialITIDur,Correct,ProbeDurITI
LXDRFJ,345,2.5,2.5,4,6.5,2.5,gynqbh,4,9,4.007,13.007,7,6.507
YXDMLR,345,2.5,2.5,0,2.5,0, ,0,2.5,3.502,6.002,6,3.502
GKQNHJ,56,2.5,2.5,0,2.5,0, ,0,2.5,3.589,6.089,6,3.589
JDMHWQ,234,2.5,2.5,4,6.5,2.5,xrtdgl,4,9,4.967,13.967,6,7.467
TJFXRG,345,2.5,2.5,4,6.5,0, ,0,6.5,4.575,11.075,6,4.575
WKXGRJ,123456,2.5,2.5,4,6.5,2.5,nrbfth,2,9,4.08,13.08,6,6.58
RYXTHJ,23456,2.5,2.5,4,6.5,2.5,mwnbyd,5,9,4.057,13.057,6,6.557
DHTFLB,12345,2.5,2.5,4,6.5,0, ,0,6.5,4.522,11.022,7,4.522
NFJTWY,23,2.5,2.5,4,6.5,2.5,xmrbhg,2,9,4.486,13.486,7,6.986
YNXJRW,4,2.5,2.5,4,6.5,0, ,0,6.5,5.196,11.696,7,5.196
NQYXLJ,234,2.5,2.5,0,2.5,0, ,0,2.5,3.504,6.004,7,3.504
MHFLXR,123,2.5,2.5,0,2.5,2.5,jkdtnf,6,5,3.103,8.103,6,5.603
HGDJQF,123456,2.5,2.5,0,2.5,2.5,bqlxwr,2,5,3.65,8.65,6,6.15
BKGRHD,12,2.5,2.5,4,6.5,2.5,njqxfy,4,9,4.499,13.499,7,6.999
XKGNRJ,2345,2.5,2.5,4,6.5,2.5,lytmqh,5,9,4.314,13.314,7,6.814
LNRXJH,1,2.5,2.5,0,2.5,2.5,kgdyfm,2,5,3.166,8.166,7,5.666
MDJHWK,23456,2.5,2.5,0,2.5,2.5,btfgkr,5,5,4.118,9.118,6,6.618
MWLDYH,4,2.5,2.5,4,6.5,2.5,nkjfgr,2,9,4.051,13.051,7,6.551
TXJGDQ,45,2.5,2.5,0,2.5,2.5,ryfbmw,3,5,3.058,8.058,7,5.558
FQHLYT,5,2.5,2.5,4,6.5,2.5,xrjdkn,4,9,4.162,13.162,7,6.662
YRBWLK,123456,2.5,2.5,0,2.5,2.5,mfnhdq,3,5,3.079,8.079,7,5.579
NWLGFK,2345,2.5,2.5,4,6.5,0, ,0,6.5,4.994,11.494,7,4.994
GYKWTB,12345,2.5,2.5,0,2.5,2.5,ldxqnf,4,5,3.064,8.064,7,5.564
HWRQXK,12345,2.5,2.5,4,6.5,2.5,fydbng,1,9,4.203,13.203,7,6.703
RTDFBG,2345,2.5,2.5,0,2.5,0, ,0,2.5,3.779,6.279,6,3.779
QJXNDK,12345,2.5,2.5,0,2.5,0, ,0,2.5,3.532,6.032,6,3.532
RDXLBF,4,2.5,2.5,0,2.5,0, ,0,2.5,3.745,6.245,6,3.745
YDFHTM,123456,2.5,2.5,4,6.5,2.5,wrqxbg,6,9,4.004,13.004,7,6.504
DMYNBQ,2345,2.5,2.5,0,2.5,2.5,jfrhtl,4,5,3.09,8.09,7,5.59
FTHKMG,12,2.5,2.5,4,6.5,2.5,jqwxrb,6,9,4.017,13.017,7,6.517
NJRKLB,4,2.5,2.5,4,6.5,2.5,hdgqkm,5,9,4.353,13.353,6,6.853
FKMLQB,45,2.5,2.5,4,6.5,2.5,jdwnqr,5,9,4.004,13.004,6,6.504
NTWHYG,123456,2.5,2.5,4,6.5,2.5,qdrbjk,3,9,4.166,13.166,7,6.666
BQDTJX,2345,2.5,2.5,0,2.5,2.5,mrkhdw,5,5,3.294,8.294,6,5.794
HNLYGQ,123,2.5,2.5,4,6.5,0, ,0,6.5,4.861,11.361,7,4.861
GTQJKD,34,2.5,2.5,4,6.5,0, ,0,6.5,4.747,11.247,6,4.747
DHLTQN,123456,2.5,2.5,4,6.5,0, ,0,6.5,4.928,11.428,7,4.928
MDHTBK,3456,2.5,2.5,4,6.5,2.5,lnrjbq,5,9,4.748,13.748,6,7.248
KJQWFN,2345,2.5,2.5,0,2.5,0, ,0,2.5,4.363,6.863,7,4.363
GDHQYL,345,2.5,2.5,0,2.5,2.5,xfkbmr,3,5,3.7,8.7,7,6.2
DKWJGL,23456,2.5,2.5,4,6.5,0, ,0,6.5,4.616,11.116,6,4.616
RWYKXJ,123456,2.5,2.5,4,6.5,0, ,0,6.5,5.243,11.743,6,5.243
QBXNRY,4,2.5,2.5,4,6.5,2.5,lnkmdt,2,9,4.011,13.011,6,6.511
BHNXFR,56,2.5,2.5,0,2.5,2.5,qlkrtg,4,5,3.205,8.205,6,5.705
HLRYMN,12,2.5,2.5,0,2.5,0, ,0,2.5,3.525,6.025,7,3.525
MKWYLR,1234,2.5,2.5,4,6.5,2.5,ghnjqx,6,9,4.1,13.1,7,6.6
RBXYTL,1,2.5,2.5,4,6.5,0, ,0,6.5,5.229,11.729,6,5.229
