StimSet,UpBrack,StimDur,RetStart,RetDur,ProbeStart,ProbeDur,ProbeLet,BotBrack,TrialDur,ITI,TrialITIDur,Correct,ProbeDurITI
LXDRFJ,345,2,2,5,7,2,gynqbh,4,9,4.007,13.007,7,6.007
YXDMLR,345,2,2,0,2,0, ,0,2,4.002,6.002,6,4.002
GKQNHJ,56,2,2,0,2,0, ,0,2,4.089,6.089,6,4.089
JDMHWQ,234,2,2,5,7,2,xrtdgl,4,9,4.967,13.967,6,6.967
TJFXRG,345,2,2,5,7,0, ,0,7,4.075,11.075,6,4.075
WKXGRJ,123456,2,2,5,7,2,nrbfth,2,9,4.08,13.08,6,6.08
RYXTHJ,23456,2,2,5,7,2,mwnbyd,5,9,4.057,13.057,6,6.057
DHTFLB,12345,2,2,5,7,0, ,0,7,4.022,11.022,7,4.022
NFJTWY,23,2,2,5,7,2,xmrbhg,2,9,4.486,13.486,7,6.486
YNXJRW,4,2,2,5,7,0, ,0,7,4.696,11.696,7,4.696
NQYXLJ,234,2,2,0,2,0, ,0,2,4.004,6.004,7,4.004
MHFLXR,123,2,2,0,2,2,jkdtnf,6,4,4.103,8.103,6,6.103
HGDJQF,123456,2,2,0,2,2,bqlxwr,2,4,4.65,8.65,6,6.65
BKGRHD,12,2,2,5,7,2,njqxfy,4,9,4.499,13.499,7,6.499
XKGNRJ,2345,2,2,5,7,2,lytmqh,5,9,4.314,13.314,7,6.314
LNRXJH,1,2,2,0,2,2,kgdyfm,2,4,4.166,8.166,7,6.166
MDJHWK,23456,2,2,0,2,2,btfgkr,5,4,5.118,9.118,6,7.118
MWLDYH,4,2,2,5,7,2,nkjfgr,2,9,4.051,13.051,7,6.051
TXJGDQ,45,2,2,0,2,2,ryfbmw,3,4,4.058,8.058,7,6.058
FQHLYT,5,2,2,5,7,2,xrjdkn,4,9,4.162,13.162,7,6.162
YRBWLK,123456,2,2,0,2,2,mfnhdq,3,4,4.079,8.079,7,6.079
NWLGFK,2345,2,2,5,7,0, ,0,7,4.494,11.494,7,4.494
GYKWTB,12345,2,2,0,2,2,ldxqnf,4,4,4.064,8.064,7,6.064
HWRQXK,12345,2,2,5,7,2,fydbng,1,9,4.203,13.203,7,6.203
RTDFBG,2345,2,2,0,2,0, ,0,2,4.279,6.279,6,4.279
QJXNDK,12345,2,2,0,2,0, ,0,2,4.032,6.032,6,4.032
RDXLBF,4,2,2,0,2,0, ,0,2,4.245,6.245,6,4.245
YDFHTM,123456,2,2,5,7,2,wrqxbg,6,9,4.004,13.004,7,6.004
DMYNBQ,2345,2,2,0,2,2,jfrhtl,4,4,4.09,8.09,7,6.09
FTHKMG,12,2,2,5,7,2,jqwxrb,6,9,4.017,13.017,7,6.017
NJRKLB,4,2,2,5,7,2,hdgqkm,5,9,4.353,13.353,6,6.353
