0.3142 	WARNING 	Movie2 stim could not be imported and won't be available
1.4645 	WARNING 	TextBox stim could not be imported and won't be available.
1.4645 	WARNING 	TextBox Font Manager Found No Fonts.
1.8549 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1920, 1080]. Using actual size
2.5049 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode=u'add', color=array([-1., -1., -1.]), colorSpace=u'rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x12cad238>, name='window1', pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'use preferences', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
2.5049 	EXP 	window1: recordFrameIntervals = False
2.6704 	EXP 	window1: recordFrameIntervals = True
2.8539 	EXP 	window1: recordFrameIntervals = False
2.8575 	EXP 	Created TopUpperLine = Line(autoDraw=False, autoLog=True, closeShape=False, contrast=1.0, depth=0, fillColor=None, fillColorSpace=u'rgb', fillRGB=None, interpolate=True, lineColor=array([ 1.,  1., -1.]), lineColorSpace=u'rgb', lineRGB=array([ 1.,  1., -1.]), lineWidth=2, name='TopUpperLine', opacity=1.0, ori=array(0.0), pos=array([ 0.  ,  0.45]), size=array([ 1.,  1.]), units=u'norm', vertices=array([[-1.,  0.],
       [ 1.,  0.]]), win=Window(...))
2.9250 	EXP 	Created UpperText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 0.,  0.,  0.]), colorSpace=u'rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font=u'Courier', fontFiles=[], height=0.25, italic=False, name='UpperText', opacity=1.0, ori=0, pos=array([ 0. ,  0.3]), rgb=array([ 0.,  0.,  0.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1.7)
2.9320 	EXP 	Created UpperBrackets = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'yellow', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font=u'Courier', fontFiles=[], height=0.25, italic=False, name='UpperBrackets', opacity=1.0, ori=0, pos=array([ 0. ,  0.3]), rgb=array([ 255.,  255.,    0.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1.7)
2.9342 	EXP 	Created BotUpperLine = Line(autoDraw=False, autoLog=True, closeShape=False, contrast=1.0, depth=0, fillColor=None, fillColorSpace=u'rgb', fillRGB=None, interpolate=True, lineColor=array([ 1.,  1., -1.]), lineColorSpace=u'rgb', lineRGB=array([ 1.,  1., -1.]), lineWidth=2, name='BotUpperLine', opacity=1.0, ori=array(0.0), pos=array([ 0.  ,  0.15]), size=array([ 1.,  1.]), units=u'norm', vertices=array([[-1.,  0.],
       [ 1.,  0.]]), win=Window(...))
2.9356 	EXP 	Created TopLowerLine = Line(autoDraw=False, autoLog=True, closeShape=False, contrast=1.0, depth=0, fillColor=None, fillColorSpace=u'rgb', fillRGB=None, interpolate=True, lineColor=u'cyan', lineColorSpace='named', lineRGB=array([   0.,  255.,  255.]), lineWidth=2, name='TopLowerLine', opacity=1.0, ori=array(0.0), pos=array([ 0.  , -0.15]), size=array([ 1.,  1.]), units=u'norm', vertices=array([[-1.,  0.],
       [ 1.,  0.]]), win=Window(...))
2.9469 	EXP 	Created LowerText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 0.,  0.,  0.]), colorSpace=u'rgb', contrast=1.0, depth=-6.0, flipHoriz=False, flipVert=False, font=u'Courier', fontFiles=[], height=0.25, italic=False, name='LowerText', opacity=1.0, ori=0, pos=array([ 0. , -0.3]), rgb=array([ 0.,  0.,  0.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=2)
